week_num,week,count_notes
1,2019-04-01/2019-04-07,1
2,2019-04-08/2019-04-14,13
3,2019-04-15/2019-04-21,16
4,2019-04-22/2019-04-28,8
5,2019-04-29/2019-05-05,10
6,2019-05-06/2019-05-12,8
7,2019-05-13/2019-05-19,9
8,2019-05-20/2019-05-26,7
9,2019-05-27/2019-06-02,4
10,2019-06-03/2019-06-09,0
11,2019-06-10/2019-06-16,0
12,2019-06-17/2019-06-23,0
13,2019-06-24/2019-06-30,5
14,2019-07-01/2019-07-07,4
15,2019-07-08/2019-07-14,4
16,2019-07-15/2019-07-21,0
17,2019-07-22/2019-07-28,1
18,2019-07-29/2019-08-04,0
19,2019-08-05/2019-08-11,0
20,2019-08-12/2019-08-18,0
21,2019-08-19/2019-08-25,0
22,2019-08-26/2019-09-01,0
23,2019-09-02/2019-09-08,0
24,2019-09-09/2019-09-15,0
25,2019-09-16/2019-09-22,0
